epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,3690.44,0.93499,0.93779,0.94886,0.26011,0.24517,0.19258,0.13448,1.4068,2.56848,1.19139,0.000264085,0.000264085,0.000264085
79,3737.3,0.94548,0.93732,0.94931,0.29237,0.22863,0.18776,0.1343,1.43232,2.5338,1.22372,0.000253086,0.000253086,0.000253086
80,3784.34,0.96679,0.94374,0.93914,0.26786,0.24223,0.18242,0.12607,1.43127,2.5635,1.21858,0.000242087,0.000242087,0.000242087
81,3830.71,0.9944,0.9521,0.9478,0.26132,0.20683,0.18377,0.12856,1.4402,2.5865,1.21528,0.000231088,0.000231088,0.000231088
82,3878.46,0.94431,0.91228,0.94618,0.28492,0.22431,0.18983,0.13217,1.42268,2.5809,1.19794,0.000220089,0.000220089,0.000220089
83,3924.58,0.94448,0.92941,0.94614,0.29958,0.22925,0.1906,0.1294,1.3833,2.5907,1.18533,0.00020909,0.00020909,0.00020909
84,3972.17,0.94134,0.91396,0.94425,0.29887,0.22671,0.19986,0.13581,1.41168,2.57973,1.21312,0.000198091,0.000198091,0.000198091
85,4018.04,0.91017,0.88259,0.9331,0.29371,0.22132,0.19713,0.13191,1.45701,2.56317,1.22608,0.000187092,0.000187092,0.000187092
86,4065.56,0.91031,0.89739,0.93972,0.27311,0.23436,0.19503,0.13404,1.446,2.5423,1.22438,0.000176094,0.000176094,0.000176094
87,4110.49,0.90809,0.85761,0.93028,0.28891,0.22393,0.18538,0.12787,1.46605,2.63799,1.24509,0.000165095,0.000165095,0.000165095
88,4158.8,0.88539,0.85639,0.91712,0.27055,0.21722,0.18912,0.13011,1.46779,2.61778,1.25971,0.000154096,0.000154096,0.000154096
89,4203.7,0.89512,0.84195,0.92703,0.26172,0.20923,0.18391,0.12737,1.45698,2.663,1.25959,0.000143097,0.000143097,0.000143097
90,4250.56,0.91278,0.83301,0.92905,0.32057,0.17325,0.17327,0.11972,1.46533,2.74521,1.25299,0.000132098,0.000132098,0.000132098
91,4303.13,0.86064,0.87809,0.89256,0.30142,0.17609,0.16777,0.11908,1.4871,2.71499,1.24444,0.000121099,0.000121099,0.000121099
92,4350.29,0.84596,0.80773,0.88316,0.28606,0.17802,0.16241,0.11523,1.48083,2.77181,1.2435,0.0001101,0.0001101,0.0001101
93,4396.21,0.84284,0.78708,0.88621,0.25896,0.21611,0.17372,0.12089,1.45234,2.66805,1.23136,9.91012e-05,9.91012e-05,9.91012e-05
94,4442.34,0.83269,0.76446,0.88539,0.29457,0.19581,0.17421,0.12084,1.49162,2.68927,1.24257,8.81023e-05,8.81023e-05,8.81023e-05
95,4488.44,0.81487,0.7474,0.87531,0.27369,0.20597,0.16925,0.11861,1.4882,2.74073,1.23973,7.71034e-05,7.71034e-05,7.71034e-05
96,4534.86,0.80619,0.7501,0.87119,0.28572,0.20557,0.17573,0.12398,1.46052,2.72666,1.22689,6.61045e-05,6.61045e-05,6.61045e-05
97,4580.77,0.823,0.75218,0.87674,0.28379,0.2244,0.1773,0.12309,1.45813,2.68216,1.22527,5.51056e-05,5.51056e-05,5.51056e-05
98,4629.34,0.80229,0.72538,0.88878,0.26791,0.21219,0.17785,0.1223,1.45637,2.74894,1.22525,4.41067e-05,4.41067e-05,4.41067e-05
99,4676.28,0.82368,0.75184,0.88166,0.26829,0.22335,0.17973,0.12321,1.47127,2.73965,1.23875,3.31078e-05,3.31078e-05,3.31078e-05
